2019-05-11 18:09:07 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 18:11:06 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 18:13:49 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 18:17:23 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 18:28:05 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 18:37:46 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 18:39:49 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 18:40:05 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 18:40:36 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 18:44:05 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 18:44:46 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 18:45:00 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 18:59:27 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
